CustomerID,Age,Gender,Tenure_Months,Contract_Type,Internet_Service,Monthly_Charges,Total_Charges,Support_Calls,Payment_Method,Churn
CUST_0001,56,Male,48,Month-to-month,Fiber optic,88.94,4269.12,5,Credit card,0
CUST_0002,69,Female,42,One year,Fiber optic,79.83,3352.86,8,Credit card,0
CUST_0003,46,Female,27,One year,DSL,25.3,683.1,3,Credit card,0
CUST_0004,32,Female,52,Month-to-month,No,27.84,1447.68,2,Bank transfer,1
CUST_0005,60,Female,42,Two year,Fiber optic,22.08,927.36,8,Electronic check,0
CUST_0006,25,Female,32,Month-to-month,Fiber optic,57.08,1826.56,1,Mailed check,0
CUST_0007,78,Female,26,Two year,Fiber optic,94.58,2459.08,8,Electronic check,0
CUST_0008,38,Female,25,Two year,No,37.28,932.0,9,Electronic check,0
CUST_0009,56,Female,23,One year,DSL,80.59,1853.57,1,Electronic check,0
CUST_0010,75,Female,57,Two year,DSL,48.88,2786.16,9,Electronic check,0
CUST_0011,36,Female,52,One year,Fiber optic,99.7,5184.4,2,Electronic check,0
CUST_0012,40,Female,31,Month-to-month,Fiber optic,99.84,3095.04,6,Electronic check,1
CUST_0013,28,Female,64,Month-to-month,No,97.54,6242.56,1,Bank transfer,0
CUST_0014,28,Female,71,Month-to-month,DSL,72.48,5146.08,0,Electronic check,0
CUST_0015,41,Female,33,Month-to-month,DSL,48.46,1599.18,8,Electronic check,1
CUST_0016,70,Female,2,One year,No,100.94,201.88,5,Credit card,0
CUST_0017,53,Female,18,Month-to-month,Fiber optic,38.61,694.98,8,Electronic check,1
CUST_0018,57,Male,47,Month-to-month,Fiber optic,48.98,2302.06,2,Electronic check,0
CUST_0019,41,Female,33,One year,DSL,38.39,1266.87,2,Credit card,0
CUST_0020,20,Male,35,Two year,DSL,87.42,3059.7,9,Credit card,1
CUST_0021,39,Female,51,Month-to-month,Fiber optic,88.62,4519.62,2,Credit card,1
CUST_0022,70,Female,18,Month-to-month,DSL,85.25,1534.5,1,Mailed check,0
CUST_0023,19,Male,30,Month-to-month,No,61.56,1846.8,5,Electronic check,1
CUST_0024,41,Female,44,One year,Fiber optic,30.02,1320.88,2,Electronic check,0
CUST_0025,61,Male,53,Month-to-month,DSL,111.12,5889.36,4,Electronic check,1
CUST_0026,47,Male,10,One year,Fiber optic,70.77,707.7,4,Credit card,0
CUST_0027,55,Male,52,Month-to-month,Fiber optic,60.7,3156.4,9,Bank transfer,1
CUST_0028,19,Female,49,Month-to-month,DSL,78.88,3865.12,2,Electronic check,1
CUST_0029,77,Female,11,Two year,DSL,39.28,432.08,2,Credit card,1
CUST_0030,38,Female,66,Month-to-month,Fiber optic,33.25,2194.5,0,Credit card,0
CUST_0031,50,Male,58,Month-to-month,Fiber optic,60.55,3511.9,5,Credit card,0
CUST_0032,29,Male,36,Month-to-month,Fiber optic,42.72,1537.92,2,Mailed check,0
CUST_0033,75,Female,33,Month-to-month,Fiber optic,44.43,1466.19,0,Credit card,0
